_id,Invoice Number,Order Number,Issue Date,Due Date,Subtotal,Total Tax,Total Amount,Due Amount,Currency,Vendor Name,Vendor Address,Vendor Company ID,Vendor VAT Number,Customer Name,Customer Company ID,Customer VAT Number,Account Number,Sort Code,Terms,Notes,Description,Quantity,Amount Base,Tax Rate,Item Amount
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Karmeliet Vat 30 L EU,-121.27,67.37,21.0,1080.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Karmeliet glas 33 cl,0.0,1743.0,21.0,0.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Karmeliet Bak 24x33 EU,-360.0,19.3,21.0,1620.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Karmeliet glas 33 cl,0.0,1743.0,21.0,0.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Kwak Vat 30 L EU,0.0,59.37,21.0,180.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Palet Euro,0.0,0.0,0.0,87.5
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Palet chep,0.0,0.0,21.0,0.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Bak Kwak + flessen,0.0,0.0,0.0,-270.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Bak Karmeliet + flessen,0.0,0.0,0.0,-540.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Vat 30 l,0.0,0.0,0.0,-720.0
5effd1e69d87960df6161a17,VF18-4983,VOR18-4933,2018-11-23,,12280.69,2287.57,14568.26,14568.26,eur,Brouwerij Bosteels NV,"Kerkstraat 96
9255 BUGGENHOUT
Ond. Nr. : BE 0441701475",,BE 0441701475,AB Inbev Belgium,,BE0433666709,446-3627811-54,,,,Palet chep,0.0,0.0,21.0,0.0
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,"SPA INTENSE 28X 250GLA
Langlopende deal
NET",320320.0,,6006.0,"2.058,88
283,67-
1 775.21"
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,"KRAT + FLES SPA 28X 250GLA
PAL 1000X1200 CHEP",3204.0,,,1600.00
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,SPA REINE 12X1000GLA,320.0,,6.0,1575.36
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,"Langlopende deal
NET",320.0,,6.0,60841.51452
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,"KRAT + FLES SPA 12X1000GLA
PAL 1000X1200 CHEP",3208.0,,,1440.00
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,BRU 6X1000GLA,160.0,,6.0,560.64
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,Langlopende deal,160.0,,,21.88
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,NET,,,6.0,"550,/0"
5effd1e69d87960df6161a18,2018025400,4504647362,2018-12-11,2019-03-01,7966.46,477.99,14944.45,14944.45,eur,L N.V.,"COMMUNAUTES 110 GEMEENSCHAPPENLAAN
B-1200 BRUXELLES - BRUSSEL",,BE 0405.844.436,INBEV BELGIUM NV/SA,,BE0433666709,,,,,"KRAT + FLES BRU 6X1000GLA
PAL 1000X1200 CHEP",1602.0,,,560.00
